course_name,distance,start_point_name,last_point,course_level,course_points,start_coordinates,end_coordinates
관악산 자락길(무장애숲길),1.3km,서울대학교 버스정류장,도토리 쉼터,1,제2광장 자락길(무장애숲길)입구~책읽는 쉼터~잣나무 쉼터~바위쉼터~전망 쉼터~도토리 쉼터,"(126.940820871333, 37.4704850540256)","(126.70388260967522, 37.709530701504725)"
흥인지문구간,1.8km,장충체육관,장충체육관,1,흥인지문-동대문역사문화공원(옛 동대문운동장 터)-광희문-장충체육관,"(127.006808757736, 37.558178171371)","(127.006808757736, 37.558178171371)"
인왕산구간,4km, 사직근린공원,창의문,2,돈의문 터-인왕산 정상-윤동주 시인의 언덕-창의문,"(126.967234174031, 37.5758369436475)","(126.966511201027, 37.5926312540331)"
숭례문구간,1.8km,"시청역 지하철 1, 2호선",돈의문터 강북삼성병원,1,백범광장-남대문시장-숭례문-돈의문터 강북삼성병원,"(126.98116523449427, 37.56624799292946)","(126.96878144640382, 37.568250083468044)"
백악구간,4.70km,자하문고개?윤동주시인의언덕,혜화문,2,창의문 - 숙정문 - 말바위 안내소 - 와룡공원 - 혜화문,"(126.96705382711903, 37.59205026692163)","(127.003835977703, 37.5879039308662)"
남산구간,4.2km,남산북측순환로입구,백범광장,2,장충체육관-국립극장-N서울타워-남산 팔각정-백범광장,"(126.992426498747, 37.5548552460885)","(126.97924870464, 37.5548284375293)"
낙산구간,2.1km,"동대문역 지하철 1,4호선",흥인지문,1,혜화문-낙산공원 놀이마당-이화마을-흥인지문,"(127.01063381083677, 37.571669405802616)","(127.009571946966, 37.571141513487)"
안산 자락길,7km,연희숲속 쉼터,연희숲속 쉼터,1,연희숲속 쉼터,"(126.938712074304, 37.5803485716349)","(126.938712074304, 37.5803485716349)"
인왕산 자락길,2.5km,지하철 3호선 경복궁역 1번 출구,인왕산,1,인왕산,"(126.97220823441525, 37.57619321126696)","(126.95784443609999, 37.58489976333122)"
신정산 자락길,4.6km,버스정류장 15-309,신정산,1,신정산,"(126.844222357179, 37.5104054941364)","(126.86864905748521, 37.506895136874284)"
북한산 자락길,1.2km,버스정류장 정릉초교(08-350),북한산,1,북한산,"(127.005296552073, 37.6199106512568)","(126.97799134593596, 37.65865286599552)"
매봉산 자락길,2km,데크로드 진입공간,매봉산,1,매봉산,"(128.47074149296682, 36.85114139406953)","(127.00902538719544, 37.544501769977565)"
서달산 자락길,0.5km,호국지장사,서달산,1,서달산,"(126.964897504681, 37.4988836325419)","(126.96254154645, 37.497293533764)"
배봉산 자락길,0.73km,배봉산 근린공원,동성빌라,1,배봉산연육교 ~ 제1만남의광장 ~ 동성빌라,"(127.06508376568377, 37.5828053511026)","(127.06625572082065, 37.5855662429419)"
고덕산 자락길,0.7km,강덕초교,고덕산,1,고덕산,"(127.160999540933, 37.5592723291687)","(127.34165308042573, 35.65829988907941)"
용산한강길,8.45Km,"서빙고역, 반포대교",한남역,1,마포대교 원효대교 인근~한강시민공원 이촌지구 인근~동작대교 인근~서빙고역 반포대교 인근~한남역 인근,"(126.9964120905137, 37.51476720580505)","(127.009209110584, 37.5294289189437)"
청계천길,8.13Km,마장역 지하철 5호선,롯데캐슬 베네치아 아파트,1,청계광장 인근~청계2가 인근~청계3가 인근~방산종합상가A동 인근~청평화시장 인근~롯데캐슬 베네치아 아파트 인근,"(127.042984855663, 37.5661389565959)","(127.02158895337773, 37.57114893748801)"
전쟁기념관 산책길,1.63km,전사자영비,전사자영비,1,옥외전시장~전사자영비,"(126.976416259843, 37.5360402713271)","(126.976416259843, 37.5360402713271)"
용산가족 산책길,3.30km,보신각종,보신각종,2,국립중앙박물관~거울못~용산가족공원~보신각종,"(126.982384268156, 37.5230488693401)","(126.982384268156, 37.5230488693401)"
덕수궁 산책길,6.02km,서울시 역사박물관,정동공원,1,덕수궁 돌담길~대한문~경운궁 양이재~홍화문~정동공원,"(126.97785780450153, 37.573986969296435)","(126.97166469208234, 37.567650747545706)"
남산야외식물원 산책길,2.29km,지하철정류장(한강진역1번출입구),팔도소나무 단지,1,라틴아메리카 공원~야생화 공원~ 팔도소나무 단지,"(127.001765135176, 37.5397907743775)","(126.999230557104, 37.5422234846696)"
남산 순환 나들길,9.17km,와룡묘,와룡묘,2,남산도서관앞~N서울타워~남산공원~와룡묘,"(126.98672491234235, 37.55461687930865)","(126.98672491234235, 37.55461687930865)"
한남매봉공원 산책길,1.88km,버스정류장(순천향대학병원),남산공원길,1,단국대학교~매봉산공원~힐사이드아파트~남산공원길,"(127.00426540030378, 37.533768423192)","(126.988230622132, 37.5513049702718)"
성동광진구한강길,12.84Km,영동대교,쉐라톤워커힐호텔,1,"옥수역 인근~서울숲 인근~영동대교 인근~뚝섬유원지 인근~뚝섬유원지, 잠실대교 인근~동서울터미널 인근~올림픽대교, 강변북로 인근~쉐라톤워커힐호텔 인근","(127.05712861432657, 37.53002363662984)","(127.11089257243468, 37.55522778434594)"
어린이대공원 산책길,1.89km,어린이대공원 후문,물놀이장,1,모험의 나라 놀이터~음악분수~전래동화마을~물놀이장,"(127.086640512262, 37.551126006358)","(126.8859566277033, 36.766116555005155)"
아차산 숲 나들길,2.78km,오동나무 자생지,오동나무 자생지,3,만남의 광장~소나무림~아차산성~아차산성 유원지~오동나무 자생지,"(127.063456437396, 37.5689552505827)","(127.063456437396, 37.5689552505827)"
성동 송정둑길,2.93㎞,살곶이다리,응봉역,1,아차산역~어린이대공원~송정동 둑길~살곶이다리~응봉역,"(127.04672549894823, 37.55301902002195)","(127.034483653629, 37.5499526279456)"
서울숲 공원 산책길,5.22km,서울숲 4번 출입구,바람의 언덕,1,숲속길~뚝섬가족마당~거울연못~바람의 언덕,"(127.041448161733, 37.5464635237022)","(128.663149179091, 34.7446210175676)"
서울숲 남산 나들길,8.82km,서울성곽길,서울성곽길,2,용비교~응봉공원~독서당공원~금호산~매봉산~서울성곽길,"(127.00863578989066, 37.58079664277135)","(127.00863578989066, 37.58079664277135)"
정릉천길,3.57Km,제기동역 지하철 1호선,코업스타클래스,1,제기로9길 인근~고산자로58길 인근~코업스타클래스 인근,"(127.03494949507864, 37.57817349658033)","(127.040169848552, 37.6019886657691)"
홍릉수목원길,1.83km,지하철정류장(고려대역3번출입구),조경인의 숲,1,홍릉수목원 입구~조경인의 숲,"(127.03630828564728, 37.59044191064368)","(127.04485106092139, 37.59396455518687)"
배봉산 답십리 나들길,3.51km,버스정류장(배봉초등학교앞),배봉산근린공원 진입,2,배봉산 출입구~답십리 근린공원~배봉산근린공원 진입,"(127.06698424996652, 37.57857772687043)","(127.06508376568377, 37.5828053511026)"
중랑캠핑숲나들길,3.73km,극락사,나들이공원,2,중랑캠핑숲입구~망우산공원입구~나들이공원,"(127.113352149876, 37.6047305330397)","(127.117688046867, 37.3948135940127)"
중랑천제방장미 벚꽃길,5.68km,지하철정류장(태릉입구역8번출입구),수림대장미원,1,사각문~묵동수림공원~수림대장미원,"(127.075405300578, 37.618459513199)","(127.072755480784, 37.614496828969)"
용마산 나들길,4.02km,버스정류장(용마산 한신아파트),사가정공원,3,용마폭포공원~용마산 우수조망명소~깔딱고개~사가정공원,"(127.09594985606692, 37.58132018338221)","(127.096083733232, 37.5797811776291)"
망우산숲나들길,5.51km,전망대,망우사색의 길,2,전망대~망우사색의 길,"(126.988230622132, 37.5513049702718)","(127.115484089844, 37.5978016537852)"
당현천길,2.84Km,노원구민체육센터,학여울 청구아파트,1,상계역 인근~양지마을 대림 2차 아파트 인근~가재울 근린공원 인근~학여울 청구아파트 인근,"(127.07068521303695, 37.648173334503305)","(127.06163253294262, 37.63578987754901)"
묵동천길,3.96Km,봉화산역 지하철 6호선,육사체육관,1,한국아파트 인근~브라운스톤태릉아파트 인근~태릉고등학교 인근~중랑소방서 인근~서울메디컬타워 인근~육사아파트 인근~육사체육관 인근,"(127.09136011564394, 37.617350836302734)","(127.096393214745, 37.6266215939062)"
중랑천길,20.74Km,아차산성,응봉역,1,도봉주공1단지 인근~성균관대도봉선수촌 인근~방학동삼성래미안아파트 인근~창동주공19단지아파트 인근~초안산근린공원 인근~월계삼호4차아파트 인근~두산아파트 석계초등학교 인근~일신강변아파트 인근~동국대사대부속중학교 인근~현대홈타운아파트 인근~성동세무서 인근~응봉역 인근,"(127.10384939033621, 37.556550546054055)","(127.034483653629, 37.5499526279456)"
초안산 나들길(초록숲길),4.59km,지하철정류장(녹천역4번출입구),산사나무 군락지,1,산사나무 군락지,"(127.045826814797, 37.6230048724882)","(129.17896357194925, 35.16801050534417)"
월계근린공원 산책길,1.12km,버스정류장(인덕삼거리),체력장,1,체력장,"(129.403130363087, 35.9952150775176)","(127.17480432229, 37.4473623519786)"
수락산 나들길(초록숲길),7.39km,암불사,수락산정상,3,암불사~도솔봉~수락산정상,"(128.501543571431, 35.5374335573277)","(127.081251662016, 37.6990466348111)"
불암산 나들길,9.79km,학도암 마애관음 보살좌상,삼육대 정문,2,회춘샘 약수터~학도암 마애관음보살 좌상~제명호~삼육대 정문,"(127.089758250757, 37.6519769282791)","(127.107407603219, 37.6384726542803)"
우이천길,7.94Km,서울선곡초등학교,우암빌라,1,서울선곡초등학교 인근~롯데캐슬루나아파트 인근~번2동주민센터 인근~우이제3교 인근~창동태영데시앙아파트 인근~강북중학교 인근~우암빌라 인근,"(127.05841060682638, 37.61865655457298)","(127.48394210742079, 36.65407292846635)"
가오천길,0.21Km,국립재활원,국립재활원,1,본원정사 인근~국립재활원 인근,"(127.01058220054608, 37.63887785974017)","(127.01058220054608, 37.63887785974017)"
대동천길,0.67Km,강북청소년수련관 버스 정류장,산양로 139길,1,선일교통종점 인근~산양로 139길 인근,"(127.006381654394, 37.646010353673)","(127.111702301052, 37.2878815661874)"
도봉천길,2.78Km,성균관대도봉선수촌,성균관대도봉선수촌,1,무궁화제작소 인근~도봉로171길 인근~럭키아파트 인근~형진빌라 인근~도봉로177길 인근~성균관대도봉선수촌 인근,"(127.048482023391, 37.6788251111346)","(127.048482023391, 37.6788251111346)"
방학천길,1.89Km,방학동도깨비시장,동아엔지니어링,1,벽산1차아파트 인근~제일시장 인근~정병원빌딩 인근~동아엔지니어링 인근,"(127.035353021784, 37.6653583281858)","(128.323136651061, 35.2877126326316)"
우이령 나들길,7.95km,오봉전망대,석굴암,2,방문자서비스센터~소귀고개 정상~오봉전망대~석굴암,"(126.99443563557003, 37.68726449590583)","(129.35052073446747, 35.79524166200299)"
오패산 나들길,2.06km,덕릉로 40다길,신망애정자,2,오동공원~꽃샘길~율곡놀이터~신망애정자,"(127.029705176427, 37.633782226242)","(127.041968117025, 37.6099744140464)"
쌍문역사 산책길(초록숲길),5.21km,연산군묘,벚나무길,2,발바닥공원~정자쉼터~쌍문근린공원~벚나무길,"(127.022585202059, 37.66140075096)","(127.21417925169, 36.9790291123886)"
북한산방학 나들길,6.81km,도봉역 1번 출입구,쌍둥이전망대,2,방학동길 진입로~매표소~자현암~장수텃밭~장수천~쌍둥이전망대,"(127.045617237066, 37.6804047684245)","(127.029258665119, 37.6738580420215)"
북서울꿈의숲 산책길,2.01km,월영지,전망대,1,월영지~월광폭포~창포원~전망대,"(127.041361371869, 37.62075225169)","(126.988230622132, 37.5513049702718)"
북서울꿈의숲 나들길,4.71km,오현로 9다길,단풍숲,2,경북문화정보센터~삼각산전망대~생태이동로~단풍숲,"(127.039522541243, 37.6285139839359)","(126.72466537078176, 35.38023948213621)"
성북천길,3.62Km,우진밧데리,동소문로2길,1,안암동주민센터 인근~우진 밧데리 인근~성북교통정보센터 인근~동소문로2길 인근,"(128.06124139977067, 35.19159244422524)","(127.008661571963, 37.588353270733)"
청량산 산책길,2.23km,청량산 산책길,청량근린공원 전망대,1,청량근린공원 전망대,"(127.17645039011323, 37.4798611591225)","(127.055951652816, 37.6021840609912)"
정릉숲 산책길,2.23km,홍살문,정릉,1,정릉 매표소~홍살문~정자각~비각~정릉,"(128.906653729912, 37.2246012366313)","(127.005657675347, 37.6021719603678)"
오동공원 산책길,2.02km,상월곡역 1번 출입구,오동공원,1,오동공원,"(127.044832669541, 37.6199238772375)","(127.041968117025, 37.6099744140464)"
북한산자락 산책길,2.49km,서경대뒷길,서경대평생교육원,1,서경대뒷길~정릉풍림상가~서경대평생교육원,"(127.01335157441319, 37.61537353959452)","(127.011820161258, 37.6148538325537)"
개운산 숲 나들길,2.20km,성북구의회,고려대 북문,1,개운초등학교~성북구의회~고려대 북문,"(127.026266235709, 37.596864138867)","(127.03231892661324, 37.589526761187834)"
인왕산 나들길,3.54km,단군성전,범바위기점,2,단군성전~인왕스카이웨이 산책로~만수천약수터~범바위기점,"(126.965712590742, 37.5760959979199)","(126.965712590742, 37.5760959979199)"
인사동삼청동 나들길,8.12km,국립민속박물관,북촌한옥마을길,2,인사동 네거리~경복궁매표소~청와대분수앞~북촌한옥마을길,"(126.9790159546164, 37.581699691218866)","(126.98481245064092, 37.581768153833444)"
성북동고택북촌산책길,4.16km,이종석 별장,수연산방,2,길상사~심우장~수연산방,"(126.994496929633, 37.5941207111134)","(126.99483655959386, 37.59507217364634)"
북악하늘 나들길,2.79km,숙정문,삼청공원,2,한성대입구역 5번 출입구~호경암~숙정문~말바위 안내소~삼청공원,"(126.98108535517, 37.595654613531)","(126.983686538484, 37.5895823159869)"
북악스카이웨이 나들길,6.96km,성북구민회관,한성대입구역,2,북악스카이웨이 2교~북악팔각정~다모정~하늘한마당~한성대입구역,"(127.00874393379493, 37.5955431812799)","(127.00601781685579, 37.58842461354086)"
부암동 나들길,4.31km,부암동 주민센터,청운공원,2,부암동 주민센터~기차바위~만수천약수터~해맞이동산~청운공원,"(126.964061015983, 37.5924142953596)","(126.96635794202, 37.5910022168413)"
백사실두메 나들길,3.06km,백사실 계곡,북악산길 산책로,2,현통사~백사실계곡~북악산스카이웨이2교~북악산길 산책로,"(126.965438573028, 37.6007182426879)","(126.991982155517, 37.6036818835016)"
도심고궁 나들길,8.60km,돈화문,종묘,2,경복궁~국립민속박물관~종로문화원~창덕궁~창경궁~종묘,"(126.989947194326, 37.5778592902015)","(126.994212979827, 37.5761080433804)"
진관공원 나들길,2.76km,서울둘레길 연계 진입부,정자,1,구파발역 1번 출입구~진관공원 전파기지국~진관초 방향 내리막길~정자,"(127.06066041449286, 37.678914078918574)","(127.10613880132, 37.370150892237)"
서오릉 나들길,4.39km,익릉,순창원,2,수경원~익릉~창릉~홍릉~경릉~순창원,"(126.900425991136, 37.6299129579472)","(126.904048877495, 37.6246289719161)"
탕춘대성 숲 나들길,13.04km,헬기장 전망대,백사실계곡,3,인왕산~개미마을~탕춘대성문~상명대~현통사~백사실계곡,"(129.288290304849, 35.8354079301522)","(126.965438573028, 37.6007182426879)"
안산숲 나들길(초록숲길),2.23km,무악재역 3번 출입구,무학정,1,메타세콰이어 숲~방크스소나무 숲~단풍나무길~벚나무 길~무학정,"(126.94467930282585, 37.58816673332487)","(128.120359450561, 35.9235288188027)"
백련산 나들길(초록숲길),5.09km,백련산 근린공원 입구,은평정,2,소공원~은평정,"(126.919486247888, 37.5827588944865)","(126.92779222301, 37.5915687672918)"
